Model,Epsilon,FairPercent,UnfairPercent,UnknownPercent
AC-1,0.010000,87.000000,13.000000,0.000000
AC-1,0.020000,84.000000,16.000000,0.000000
AC-1,0.030000,81.000000,19.000000,0.000000
AC-1,0.050000,69.000000,31.000000,0.000000
AC-1,0.070000,50.000000,50.000000,0.000000
AC-1,0.100000,22.000000,78.000000,0.000000
AC-3,0.010000,86.000000,14.000000,0.000000
AC-3,0.020000,84.000000,16.000000,0.000000
AC-3,0.030000,82.000000,18.000000,0.000000
AC-3,0.050000,71.000000,29.000000,0.000000
AC-3,0.070000,50.000000,50.000000,0.000000
AC-3,0.100000,27.000000,73.000000,0.000000
